ds,y
01/01/2023,35.6
02/01/2023,21505.209
03/01/2023,36879.007
04/01/2023,30768.619
05/01/2023,36332.331
06/01/2023,24626.441
07/01/2023,30380.173
08/01/2023,6096.827
09/01/2023,39510.599
10/01/2023,30953.26
11/01/2023,23838.88
12/01/2023,21469.529
13/01/2023,25006.867
14/01/2023,24415.22
15/01/2023,4948.88
16/01/2023,26531.133
17/01/2023,46802.993
18/01/2023,22352.827
19/01/2023,54986.338
20/01/2023,30556.06
21/01/2023,31452.16
22/01/2023,4241.826
23/01/2023,43366.255
24/01/2023,31393.6
25/01/2023,44366.533
26/01/2023,66215.366
27/01/2023,39696.006
28/01/2023,39521.492
29/01/2023,7609.373
30/01/2023,44740.684
31/01/2023,49024.438
01/02/2023,51682.505
02/02/2023,57486.188
03/02/2023,39936.106
04/02/2023,34395.363
05/02/2023,20841.147
06/02/2023,48374.399
07/02/2023,68647.314
08/02/2023,41405.904
09/02/2023,33008.107
10/02/2023,36129.659
11/02/2023,36733.652
12/02/2023,5894.814
13/02/2023,74450.206
14/02/2023,30774.75
15/02/2023,36215.833
16/02/2023,41849.684
17/02/2023,34945.787
18/02/2023,27936.061
19/02/2023,6987.386
20/02/2023,31131.046
21/02/2023,12570.867
22/02/2023,39483.411
23/02/2023,31072.787
24/02/2023,28811.2
25/02/2023,25234.054
26/02/2023,4797.24
27/02/2023,49980.125
28/02/2023,61197.417
01/03/2023,39727.547
02/03/2023,43862.871
03/03/2023,60479.279
04/03/2023,40868.865
05/03/2023,5973.12
06/03/2023,66463.066
07/03/2023,44186.733
08/03/2023,23613.246
09/03/2023,36568.164
10/03/2023,44968.039
11/03/2023,39315.052
12/03/2023,7838.906
13/03/2023,54427.863
14/03/2023,44213.247
15/03/2023,29290.919
16/03/2023,44771.435
17/03/2023,34241.546
18/03/2023,43096.059
19/03/2023,5292.267
20/03/2023,30989.172
21/03/2023,43192.038
22/03/2023,39547.699
23/03/2023,21205.973
24/03/2023,37113.691
25/03/2023,36332.483
26/03/2023,6729.186
27/03/2023,27006.932
28/03/2023,70363.797
29/03/2023,44471.879
30/03/2023,61324.579
31/03/2023,43102.823
01/04/2023,80566.092
02/04/2023,10650.974
03/04/2023,39830.973
04/04/2023,16609.067
05/04/2023,80343.679
06/04/2023,52717.8
07/04/2023,35371.16
08/04/2023,52801.253
09/04/2023,12947.26
10/04/2023,50073.333
11/04/2023,48799.261
12/04/2023,42192.518
13/04/2023,48595.546
14/04/2023,41568.807
15/04/2023,34864.113
16/04/2023,8000.307
17/04/2023,44602.386
18/04/2023,54055.686
19/04/2023,37429.4
20/04/2023,67033.495
21/04/2023,56937.715
22/04/2023,26805.022
23/04/2023,5037.933
24/04/2023,60976.857
25/04/2023,40739.006
26/04/2023,118432.054
27/04/2023,29728.362
28/04/2023,88667.653
29/04/2023,56111.72
30/04/2023,11219.946
01/05/2023,27055.294
02/05/2023,56952.807
03/05/2023,64859.973
04/05/2023,47709.52
05/05/2023,47701.053
06/05/2023,57768.006
07/05/2023,33090.387
08/05/2023,50452.644
09/05/2023,35581.28
10/05/2023,40304.44
11/05/2023,46158.307
12/05/2023,40167.963
13/05/2023,45264.199
14/05/2023,8294.973
15/05/2023,29199.9
16/05/2023,57371.72
17/05/2023,41842.936
18/05/2023,73904.72
19/05/2023,45118.949
20/05/2023,59479.275
21/05/2023,12298.574
22/05/2023,52765.394
23/05/2023,50216.165
24/05/2023,34654.074
25/05/2023,34134.554
26/05/2023,52018.008
27/05/2023,51869.943
28/05/2023,7582.041
29/05/2023,48837.968
30/05/2023,66963.768
31/05/2023,54624.553
01/06/2023,57499.615
02/06/2023,68954.644
03/06/2023,52553.827
04/06/2023,11191.32
05/06/2023,22350.427
06/06/2023,93943.789
07/06/2023,47599.606
08/06/2023,59259.792
09/06/2023,53908.18
10/06/2023,46436.453
11/06/2023,20321.946
12/06/2023,37208.233
13/06/2023,60984.082
14/06/2023,42223.009
15/06/2023,53832.167
16/06/2023,72636.291
17/06/2023,35380.942
18/06/2023,12892.414
19/06/2023,60047.949
20/06/2023,51325.707
21/06/2023,43417.775
22/06/2023,39886.003
23/06/2023,30527.767
24/06/2023,49506.722
25/06/2023,9523.747
26/06/2023,42473.863
27/06/2023,52079.439
28/06/2023,79892.593
29/06/2023,51925.322
30/06/2023,78867.815
01/07/2023,51555.376
02/07/2023,23207.161
03/07/2023,63917.279
04/07/2023,61567.193
05/07/2023,63258.429
06/07/2023,49508.386
07/07/2023,49897.433
08/07/2023,43136.001
09/07/2023,8919.22
10/07/2023,41861.56
11/07/2023,52671.727
12/07/2023,47675.348
13/07/2023,30698.877
14/07/2023,63997.522
15/07/2023,51184.634
16/07/2023,9421.506
17/07/2023,43341.645
18/07/2023,43736.014
19/07/2023,51486.692
20/07/2023,26145.624
21/07/2023,49086.672
22/07/2023,37628.501
23/07/2023,12052.554
24/07/2023,71605.101
25/07/2023,4078.429
